block,encoding,fold,roc_auc,average_precision,columns
text,frase + bolsa de palabras (2 codificaciones),2,0.9661226202266975,0.7519993231994773,460
text,frase + bolsa de palabras (2 codificaciones),3,0.9722141633510168,0.7651088614447169,460
text,frase + bolsa de palabras (2 codificaciones),4,0.9736512136998449,0.794458145239675,460
text,frase + tf-idf (2 codificaciones),0,0.975559477682942,0.8177998557836881,460
text,frase + tf-idf (2 codificaciones),1,0.9714683680805177,0.7873520281400951,460
text,frase + tf-idf (2 codificaciones),2,0.968983850555739,0.7741809564360976,460
text,frase + tf-idf (2 codificaciones),3,0.9754918213969939,0.7957832082731058,460
text,frase + tf-idf (2 codificaciones),4,0.9748531367767678,0.8030432992029334,460
fields,las 4 del informe (frase+category+allergens+price_pct),0,0.9771624174399847,0.8204047566989672,50
fields,las 4 del informe (frase+category+allergens+price_pct),1,0.97380136039374,0.8082822015383824,50
fields,las 4 del informe (frase+category+allergens+price_pct),2,0.9705589028282161,0.8023357776406391,50
fields,las 4 del informe (frase+category+allergens+price_pct),3,0.9767887240274093,0.8221185131507642,50
fields,las 4 del informe (frase+category+allergens+price_pct),4,0.9749587813123476,0.8116778851819553,50
fields,+ las 2 categoricas que el informe descarta,0,0.9770969209767936,0.8147995336459658,58
fields,+ las 2 categoricas que el informe descarta,1,0.973077268705414,0.8060981994847966,58
fields,+ las 2 categoricas que el informe descarta,2,0.9695065753273908,0.7970055940436289,58
fields,+ las 2 categoricas que el informe descarta,3,0.976659206454465,0.821297580343084,58
fields,+ las 2 categoricas que el informe descarta,4,0.9748566005320329,0.8103297052895081,58
fields,+ las 3 numericas que el informe descarta,0,0.9755405181804394,0.7984558053819107,80
fields,+ las 3 numericas que el informe descarta,1,0.9735179450312448,0.7986896083544461,80
fields,+ las 3 numericas que el informe descarta,2,0.9700241416309012,0.7879725410044343,80
fields,+ las 3 numericas que el informe descarta,3,0.9755367208222812,0.8023163670713095,80
fields,+ las 3 numericas que el informe descarta,4,0.9736269674129905,0.8095374355487889,80
fields,las 9 columnas que parameters.txt le da al Transformer,0,0.9703783627263076,0.7567654816530587,490
fields,las 9 columnas que parameters.txt le da al Transformer,1,0.9675904164132059,0.7527764953425302,490
fields,las 9 columnas que parameters.txt le da al Transformer,2,0.9653763618355893,0.7440446330148752,490
fields,las 9 columnas que parameters.txt le da al Transformer,3,0.9710156940760388,0.7564879343286348,490
fields,las 9 columnas que parameters.txt le da al Transformer,4,0.9727402460651741,0.7862720071955023,490
